Date,AAPL,ADI,AMZN,BKR,GM,GOOG,GS,INDA,IVOG,JPM,KRE,KULR,LLY,META,MNSO,MSFT,NVDA,SHOP,SPY,TSLA,TSM,UNH,USXF,VO,VOT,XLV
2021-01-04,126.54423522949219,136.0154266357422,159.3314971923828,18.893630981445312,39.4901008605957,86.10262298583984,240.1225128173828,37.51497268676758,85.13337707519531,112.30847930908203,46.35316467285156,1.4299999475479126,158.22743225097656,267.91656494140625,23.366165161132812,210.42311096191406,13.080304145812988,109.23999786376953,348.2994384765625,243.2566680908203,104.09840393066406,330.0807189941406,29.528823852539062,191.93833923339844,203.58956909179688,106.11247253417969
2021-01-05,128.10877990722656,138.44662475585938,160.92550659179688,19.109352111816406,40.61114501953125,86.7343521118164,245.49574279785156,38.19435119628906,86.37447357177734,112.91960144042969,46.97168731689453,1.3799999952316284,159.01145935058594,269.9388732910156,24.579513549804688,210.6260528564453,13.370814323425293,111.8740005493164,350.69818115234375,245.0366668701172,105.09558868408203,325.6418762207031,29.65289306640625,193.7659454345703,205.32386779785156,106.8828353881836
2021-01-06,123.79643249511719,139.0706787109375,156.91900634765625,19.91830825805664,41.89791488647461,86.45386505126953,258.7433166503906,38.073368072509766,89.18988800048828,118.22183227539062,50.63798522949219,1.600000023841858,157.0993194580078,262.3079833984375,26.65691375732422,205.16468811035156,12.582566261291504,108.73100280761719,352.79498291015625,251.9933319091797,107.74231719970703,339.3078308105469,29.90102767944336,196.98785400390625,205.54798889160156,108.348388671875
2021-01-07,128.02076721191406,144.9483642578125,158.10800170898438,20.37671661376953,42.22935485839844,89.04256439208984,264.2706604003906,37.896541595458984,90.94287109375,122.1041259765625,51.81227111816406,1.7000000476837158,158.54295349121094,267.71728515625,26.197311401367188,211.0030517578125,13.310218811035156,115.9530029296875,358.03656005859375,272.0133361816406,113.16622924804688,344.747802734375,30.445037841796875,199.8140869140625,211.0919952392578,109.7575912475586
2021-01-08,129.1257781982422,146.0009307861328,159.13499450683594,20.196950912475586,41.97589874267578,90.0369873046875,262.8480529785156,38.78997802734375,90.96701049804688,122.23896026611328,51.12204360961914,1.5,159.09744262695312,266.5517883300781,25.645788192749023,212.28868103027344,13.243139266967773,118.89199829101562,360.0765686035156,293.3399963378906,110.61271667480469,343.19891357421875,30.769533157348633,200.71844482421875,212.65097045898438,110.28369903564453
2021-01-11,126.12374877929688,147.45407104492188,155.7104949951172,20.35874366760254,43.87680435180664,88.01974487304688,266.2459716796875,38.575923919677734,91.26642608642578,124.06329345703125,51.85709762573242,1.3899999856948853,177.76925659179688,255.8626251220703,26.70287322998047,210.22976684570312,13.587016105651855,117.76399993896484,357.6493225097656,270.39666748046875,114.2566146850586,340.7056579589844,30.511838912963867,200.1908721923828,211.77406311035156,110.8003921508789
2021-01-12,125.94771575927734,148.1898956298828,156.04150390625,20.70929718017578,46.616058349609375,87.01483917236328,273.83929443359375,38.92026901245117,92.05357360839844,126.0134048461914,52.744537353515625,1.4500000476837158,170.9429931640625,250.13449096679688,28.578052520751953,207.7552032470703,13.450610160827637,118.8239974975586,357.7248229980469,283.14666748046875,114.62940216064453,337.51348876953125,30.569107055664062,201.97146606445312,213.3037872314453,109.59789276123047
2021-01-13,127.99141693115234,147.6217498779297,158.29449462890625,20.673341751098633,47.503150939941406,87.40594482421875,274.50079345703125,38.771366119384766,91.11671447753906,126.13023376464844,52.332183837890625,1.3200000524520874,177.3486328125,250.68240356445312,28.11844825744629,209.1181640625,13.4974946975708,119.98200225830078,358.6882629394531,284.8033447265625,111.11597442626953,335.31292724609375,30.54047393798828,201.3873748779297,212.27098083496094,109.89852142333984
2021-01-14,126.0552978515625,148.53460693359375,156.37350463867188,21.31151008605957,50.23264694213867,86.6974868774414,278.9679870605469,38.90165710449219,91.7251968383789,126.8671646118164,53.461669921875,1.2999999523162842,178.48629760742188,244.70523071289062,27.098133087158203,205.90899658203125,13.166831970214844,117.88600158691406,357.4320983886719,281.6666564941406,117.84461212158203,331.0534973144531,30.38777732849121,201.49099731445312,211.21868896484375,109.5509262084961
2021-01-15,124.32447814941406,146.9417724609375,155.21249389648438,20.556489944458008,48.71192932128906,86.49870300292969,272.7519836425781,38.147823333740234,90.84627532958984,124.59349822998047,52.34115219116211,1.2899999618530273,182.38702392578125,250.40347290039062,26.280040740966797,205.5513153076172,12.826945304870605,117.0469970703125,354.8254699707031,275.38665771484375,116.70763397216797,331.78076171875,30.1968936920166,200.18150329589844,209.98126220703125,109.8891372680664
2021-01-19,124.99920654296875,149.5405731201172,156.03799438476562,20.556489944458008,53.45932388305664,89.22241973876953,266.58123779296875,38.278114318847656,91.77831268310547,124.05425262451172,52.76247024536133,1.2899999618530273,189.75820922851562,260.1064453125,27.870262145996094,209.21482849121094,12.992276191711426,117.39700317382812,357.6116027832031,281.51666259765625,122.36457061767578,332.6211853027344,30.502296447753906,201.21778869628906,211.64743041992188,110.71585083007812
2021-01-20,129.10617065429688,148.87924194335938,163.16900634765625,20.574464797973633,54.453636169433594,94.00721740722656,263.2014465332031,39.078487396240234,92.80692291259766,122.19400024414062,52.35012435913086,1.2899999618530273,192.41603088378906,266.462158203125,29.543214797973633,216.85108947753906,13.331912994384766,120.0979995727539,362.5604248046875,283.48333740234375,121.74946594238281,331.3463439941406,30.85542106628418,203.11135864257812,214.2586669921875,111.32649230957031
